번호,개방자치단체코드,관리번호,인허가일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,좌표정보(x),좌표정보(y)
1,3620000,3.62E+17,2012-12-24,3,폐업,2,폐업,251-1255,광주광역시 북구 두암동 927-1,광주광역시 북구 삼정로 95 (두암동),61157,엔젤동물병원,2021-10-31 19:10,U,2021-11-02 2:40,194205.75,185704.245
2,3620000,3.62E+17,2013-03-12,3,폐업,2,폐업,576-7093,광주광역시 북구 신용동 691번지,"광주광역시 북구 첨단연신로91번길 44, 105호 (신용동, 대성빌딩)",61087,첨단동물병원,2014-12-17 8:54,I,2018-08-31 23:59,187131.9586,189712.31
3,3620000,3.62E+17,2016-01-21,3,폐업,2,폐업,625712808,광주광역시 북구 본촌동 378-6번지,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",61027,광주광역시동물보호소부속동물병원,2017-01-03 14:31,I,2018-08-31 23:59,189132.5237,191478.4166
4,3620000,3.62E+17,1991-07-10,3,폐업,2,폐업,529-7775,광주광역시 북구 양산동 273-7번지,광주광역시 북구 하서로 367 (양산동),,운암동물병원,2019-01-22 16:47,U,2019-01-24 2:40,188395.4757,189857.2852
5,3620000,3.62E+17,1996-04-17,3,폐업,2,폐업,262-5535,광주광역시 북구 우산동 232-10,광주광역시 북구 동문대로 79 (우산동),,말바우동물병원,2023-02-02 15:16,U,2023-02-04 2:40,192872.0971,185795.7061
6,3620000,3.62E+17,2017-01-05,3,폐업,2,폐업,,,"광주광역시 북구 본촌마을길 27 (본촌동, 동물보호소)",61027,광주동물보호소 부속 동물병원,2018-01-17 11:18,I,2018-08-31 23:59,189132.5237,191478.4166
7,3450000,3.45E+17,1981-08-24,3,폐업,2,폐업,941-1529,대구광역시 북구 대현동 229-19번지,대구광역시 북구 대현로 27 (대현동),,북부동물병원,2009-12-31 9:51,I,2018-08-31 23:59,344723.1824,266253.209
8,3450000,3.45E+17,1992-04-13,3,폐업,2,폐업,959-1523,대구광역시 북구 산격동 495-42,대구광역시 북구 동북로 193 (산격동),,복현동물병원,2022-01-05 10:10,U,2022-01-07 2:40,345625.3764,267650.3253
9,3450000,3.45E+17,1993-08-10,3,폐업,2,폐업,,대구광역시 북구 대현동 270-13  번지,,,세진동물병원,2003-05-16 11:53,I,2018-08-31 23:59,,
10,3450000,3.45E+17,2000-08-10,3,폐업,2,폐업,424-2455,대구광역시 북구 침산동 222-7번지,대구광역시 북구 침산남로 157 (침산동),,플러스동물병원,2012-09-13 13:15,I,2018-08-31 23:59,343791.5013,266469.5137
11,3450000,3.45E+17,2002-08-09,3,폐업,2,폐업,325-7965,대구광역시 북구 읍내동 443-3번지,,,강북동물병원약품,2006-05-15 17:33,I,2018-08-31 23:59,,
12,3450000,3.45E+17,2003-03-14,3,폐업,2,폐업,952-7975,대구광역시 북구 동변동 686-3번지,대구광역시 북구 동변로 80 (동변동),,수동물병원,2013-11-25 17:41,I,2018-08-31 23:59,344690.1955,270065.9294
13,3450000,3.45E+17,1981-08-24,3,폐업,2,폐업,,대구광역시 북구 태전동 476-1번지,대구광역시 북구 칠곡중앙대로46길 12 (태전동),,대성동물병원,2006-02-27 17:55,I,2018-08-31 23:59,339769.452,269656.7091
14,3450000,3.45E+17,1981-08-24,3,폐업,2,폐업,,대구광역시 북구 노원동3가 772-2   번지,,,천일동물병원,2003-05-16 11:44,I,2018-08-31 23:59,,
15,3450000,3.45E+17,1981-08-24,3,폐업,2,폐업,357-2188,대구광역시 북구 고성동2가 117-6번지,대구광역시 북구 원대로 34 (고성동2가),,서부동물병원,2008-10-09 10:02,I,2018-08-31 23:59,342692.9264,265593.3478
16,3450000,3.45E+17,2003-04-11,3,폐업,2,폐업,956-0858,대구광역시 북구 산격동 1291-20번지,대구광역시 북구 대학로 141 (산격동),,다나동물병원,2019-10-17 17:56,U,2019-10-19 2:40,345618.776,267449.3569
17,3450000,3.45E+17,2005-03-04,3,폐업,2,폐업,053-325-1121,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오동물병원,2006-11-28 13:24,I,2018-08-31 23:59,341518.687,271889.6851
18,3450000,3.45E+17,2006-12-04,3,폐업,2,폐업,053-325-1121,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오동물병원,2007-11-07 10:04,I,2018-08-31 23:59,341518.687,271889.6851
19,3450000,3.45E+17,2007-11-07,3,폐업,2,폐업,325-1121,대구광역시 북구 구암동 811-6번지,대구광역시 북구 구암로60길 19 (구암동),,임프로바이오,2010-09-03 10:19,I,2018-08-31 23:59,341518.687,271889.6851
20,5410000,5.41E+17,1973-02-12,3,폐업,2,폐업,,경상남도 창녕군 대합면 십이리 438-3번지,경상남도 창녕군 대합면 십이리1길 10,50311,대합가축병원,2020-06-16 16:22,U,2020-06-18 2:40,333173.0507,235779.0868
21,5410000,5.41E+17,2004-10-15,3,폐업,2,폐업,,경상남도 창녕군 창녕읍 술정리 171-1번지,경상남도 창녕군 창녕읍 화왕산1로 12,,자연동물병원,2008-03-24 17:03,I,2018-08-31 23:59,335660.0726,227406.6498
22,5410000,5.41E+17,1979-06-08,3,폐업,2,폐업,055-533-3525,경상남도 창녕군 창녕읍 교리 992-10번지,경상남도 창녕군 창녕읍 우포2로 1215,,박수의과병원,2014-01-16 16:04,I,2018-08-31 23:59,334956.3362,228114.8231
23,5410000,5.41E+17,1979-12-01,3,폐업,2,폐업,055-533-3671,경상남도 창녕군 대지면 구미리 203-3번지,경상남도 창녕군 대지면 구미2길 27,,명성동물병원,2015-03-02 9:53,I,2018-08-31 23:59,332903.4985,226342.5678
24,5410000,5.41E+17,1995-04-29,3,폐업,2,폐업,055-533-8220,경상남도 창녕군 창녕읍 술정리 171-1번지,,,황영균동물병원,2015-07-30 10:27,I,2018-08-31 23:59,335660.0726,227406.6498
